# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416336798;26001308;238523116;90.17;64512;35373256;207610880;76.07
axle;60;1416336858;23880336;240644088;90.97;64584;37504596;207691192;76.10
axle;60;1416336918;23848580;240675844;90.98;64660;37521272;207604256;76.07
axle;60;1416336978;23826608;240697816;90.99;64740;37544692;207602868;76.07
axle;60;1416337038;23912568;240611856;90.96;64876;37565008;207492164;76.03
axle;60;1416337098;20625140;243899284;92.20;64924;37567452;210956808;77.30
axle;60;1416337158;8920216;255604208;96.63;64968;37578348;222802308;81.64
axle;60;1416337218;16406132;248118292;93.80;65052;37583516;215144784;78.83
axle;60;1416337278;19699264;244825160;92.55;65076;37585080;211692396;77.57
axle;60;1416337338;19695516;244828908;92.55;65108;37586240;211692396;77.57
