Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

07:52:18 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:53:18 PM     all     22.55      0.00      8.17      0.47      0.00     68.81
07:54:18 PM     all     12.96      0.00      6.25      0.00      0.00     80.79
07:55:18 PM     all      7.43      0.00      5.85      0.01      0.00     86.72
07:56:18 PM     all      7.71      0.00      5.44      0.00      0.00     86.85
07:57:18 PM     all      7.26      0.00      4.10      0.00      0.00     88.64
07:58:18 PM     all      4.71      0.00      2.14      0.00      0.00     93.15
07:59:18 PM     all     29.32      0.00      2.56      0.00      0.00     68.12
08:00:18 PM     all     18.30      0.00      0.99      0.00      0.00     80.71
08:01:18 PM     all      6.80      0.00      0.35      0.00      0.00     92.85
08:02:18 PM     all      5.62      0.00      0.42      0.00      0.00     93.96
