ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1416337364.98631,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,57072,55215,55190,652,121862
1416337364.98631,pg_catalog,pg_type,pg_type_typname_nsp_index,6261,4810,4513,1741,15008
1416337364.98631,pg_catalog,pg_type,pg_type_oid_index,235156,234531,234531,622,481056
1416337364.98631,public,orders,pk_orders,30,30,30,6,96
1416337364.98631,public,orders,orders_o_orderkey_o_orderdate_idx,0,0,0,1,11
1416337364.98631,public,orders,orders_o_orderdate_o_orderkey_idx,0,0,0,1,11
1416337364.98631,pg_toast,pg_toast_2619,pg_toast_2619_index,42926,143524,143524,507,49505
1416337364.98631,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1416337364.98631,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1416337364.98631,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1416337364.98631,pg_toast,pg_toast_2618,pg_toast_2618_index,908,2900,2900,154,1310
1416337364.98631,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1416337364.98631,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1416337364.98631,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1416337364.98631,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1416337364.98631,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_authid,pg_authid_oid_index,10083,10083,10083,300,19866
1416337364.98631,pg_catalog,pg_authid,pg_authid_rolname_index,10020,10020,10020,310,19730
1416337364.98631,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,201964,457766,457766,1383,417973
1416337364.98631,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,298,298,298,519,4632
1416337364.98631,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,12138,55016,55016,2205,31557
1416337364.98631,pg_catalog,pg_proc,pg_proc_oid_index,76699,76699,76699,1604,161519
1416337364.98631,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_constraint,pg_constraint_oid_index,80,40,40,10,191
1416337364.98631,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,10,71
1416337364.98631,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,10,71
1416337364.98631,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,10,71
1416337364.98631,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,315,0,0,134,181
1416337364.98631,pg_catalog,pg_index,pg_index_indexrelid_index,91041,91408,91041,281,101349
1416337364.98631,pg_catalog,pg_index,pg_index_indrelid_index,23767,71744,71744,494,29772
1416337364.98631,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_opclass,pg_opclass_oid_index,46108,46108,46108,287,56173
1416337364.98631,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,15434,644166,644166,707,18968
1416337364.98631,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_amop,pg_amop_opr_fam_index,38213,80208,80208,713,82814
1416337364.98631,pg_catalog,pg_amop,pg_amop_fam_strat_index,53197,53197,53197,789,110413
1416337364.98631,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,44598,70311,70311,403,99145
1416337364.98631,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,5490,5490,5490,909,8652
1416337364.98631,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,1791,1614,1437,326,2741
1416337364.98631,pg_catalog,pg_rewrite,pg_rewrite_oid_index,531,354,354,235,664
1416337364.98631,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1416337364.98631,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,0,0
