ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1416338024.23086,template1,0,0,0,0,0,0,0,0,0,0
1416338024.23086,template0,0,0,0,0,0,0,0,0,0,0
1416338024.23086,postgres,0,684,5,3319,34226,316285,13145,0,0,0
1416338024.23086,dbt3,22,21509,0,912542031,6851163223,52254477752,10167444052,440949336,3752,6682209
1416338084.26225,template1,0,0,0,0,0,0,0,0,0,0
1416338084.26225,template0,0,0,0,0,0,0,0,0,0,0
1416338084.26225,postgres,0,686,5,3347,34256,317211,13156,0,0,0
1416338084.26225,dbt3,31,22959,0,919144564,6927949147,52627462310,10361611614,441025090,3876,6682603
1416338144.27315,template1,0,0,0,0,0,0,0,0,0,0
1416338144.27315,template0,0,0,0,0,0,0,0,0,0,0
1416338144.27315,postgres,0,688,5,3375,34286,318137,13167,0,0,0
1416338144.27315,dbt3,31,23240,0,932948225,7015232387,53884361036,10554668044,441115011,3925,6757704
1416338204.29887,template1,0,0,0,0,0,0,0,0,0,0
1416338204.29887,template0,0,0,0,0,0,0,0,0,0,0
1416338204.29887,postgres,0,690,5,3403,34316,319063,13178,0,0,0
1416338204.29887,dbt3,28,23503,0,948143646,7183753227,54692021010,10863014535,441204816,3982,6832544
1416338264.335,template1,0,0,0,0,0,0,0,0,0,0
1416338264.335,template0,0,0,0,0,0,0,0,0,0,0
1416338264.335,postgres,0,692,5,3431,34346,319989,13189,0,0,0
1416338264.335,dbt3,31,23850,0,962513988,7285363565,55711016209,11095046256,441295360,4041,6907116
1416338324.38189,template1,0,0,0,0,0,0,0,0,0,0
1416338324.38189,template0,0,0,0,0,0,0,0,0,0,0
1416338324.38189,postgres,0,694,5,3459,34376,320915,13200,0,0,0
1416338324.38189,dbt3,30,24105,0,975013347,7362699227,56430816225,11212893271,441384938,4084,6982049
1416338384.37572,template1,0,0,0,0,0,0,0,0,0,0
1416338384.37572,template0,0,0,0,0,0,0,0,0,0,0
1416338384.37572,postgres,0,696,5,3487,34406,321841,13211,0,0,0
1416338384.37572,dbt3,32,24330,0,991358708,7464993215,57461144855,11325537431,441474631,4120,7057223
1416338444.39438,template1,0,0,0,0,0,0,0,0,0,0
1416338444.39438,template0,0,0,0,0,0,0,0,0,0,0
1416338444.39438,postgres,0,698,5,3515,34436,322767,13222,0,0,0
1416338444.39438,dbt3,29,24554,0,1004019839,7564416918,58250724623,11522816428,441564485,4161,7132689
1416338504.40616,template1,0,0,0,0,0,0,0,0,0,0
1416338504.40616,template0,0,0,0,0,0,0,0,0,0,0
1416338504.40616,postgres,0,700,5,3543,34466,323693,13233,0,0,0
1416338504.40616,dbt3,29,24855,0,1026109444,7797340189,58895609937,11713441077,441654152,4234,7207888
1416338564.43013,template1,0,0,0,0,0,0,0,0,0,0
1416338564.43013,template0,0,0,0,0,0,0,0,0,0,0
1416338564.43013,postgres,0,702,5,3571,34496,324619,13244,0,0,0
1416338564.43013,dbt3,31,25079,0,1041702338,7884561611,59840138621,11923630921,441654204,4300,7207905
1416338624.43429,template1,0,0,0,0,0,0,0,0,0,0
1416338624.43429,template0,0,0,0,0,0,0,0,0,0,0
1416338624.43429,postgres,0,704,5,3599,34526,325545,13255,0,0,0
1416338624.43429,dbt3,32,25351,0,1063903901,8066255587,60896709902,12129628504,441744526,4345,7283087
1416338684.45503,template1,0,0,0,0,0,0,0,0,0,0
1416338684.45503,template0,0,0,0,0,0,0,0,0,0,0
1416338684.45503,postgres,0,706,5,3627,34556,326471,13266,0,0,0
1416338684.45503,dbt3,31,25621,0,1082043715,8212925347,61690822161,12294556380,441835109,4420,7357931
1416338744.47978,template1,0,0,0,0,0,0,0,0,0,0
1416338744.47978,template0,0,0,0,0,0,0,0,0,0,0
1416338744.47978,postgres,0,708,5,3655,34586,327397,13277,0,0,0
1416338744.47978,dbt3,29,25784,0,1094574490,8311660540,62205618155,12406957842,441850189,4449,7433033
1416338804.50304,template1,0,0,0,0,0,0,0,0,0,0
1416338804.50304,template0,0,0,0,0,0,0,0,0,0,0
1416338804.50304,postgres,0,710,5,3683,34616,328323,13288,0,0,0
1416338804.50304,dbt3,28,26062,0,1113687577,8461453273,63502725741,12636672551,441940451,4497,7508225
1416338864.50495,template1,0,0,0,0,0,0,0,0,0,0
1416338864.50495,template0,0,0,0,0,0,0,0,0,0,0
1416338864.50495,postgres,0,712,5,3711,34646,329249,13299,0,0,0
1416338864.50495,dbt3,23,26380,0,1137852363,8684148913,64339695649,12915303176,442030982,4558,7583025
1416338924.4927,template1,0,0,0,0,0,0,0,0,0,0
1416338924.4927,template0,0,0,0,0,0,0,0,0,0,0
1416338924.4927,postgres,0,714,5,3739,34676,330175,13310,0,0,0
1416338924.4927,dbt3,9,26621,0,1155135492,8789763039,65391391084,13079525504,442195373,4618,7658138
1416338984.49473,template1,0,0,0,0,0,0,0,0,0,0
1416338984.49473,template0,0,0,0,0,0,0,0,0,0,0
1416338984.49473,postgres,0,716,5,3767,34706,331101,13321,0,0,0
1416338984.49473,dbt3,3,26682,0,1158747914,8812094986,65574636007,13138631202,442285267,4630,7733203
1416339044.5002,template1,0,0,0,0,0,0,0,0,0,0
1416339044.5002,template0,0,0,0,0,0,0,0,0,0,0
1416339044.5002,postgres,0,718,5,3767,34764,332027,13332,0,0,0
1416339044.5002,dbt3,4,26729,0,1160292281,8814956883,65724856883,13138634919,442390579,4635,7882824
1416339104.50224,template1,0,0,0,0,0,0,0,0,0,0
1416339104.50224,template0,0,0,0,0,0,0,0,0,0,0
1416339104.50224,postgres,0,720,5,3767,34822,332953,13343,0,0,0
1416339104.50224,dbt3,6,26760,0,1161098985,8817137228,65799970890,13138637474,442480721,4638,7957770
1416339164.50479,template1,0,0,0,0,0,0,0,0,0,0
1416339164.50479,template0,0,0,0,0,0,0,0,0,0,0
1416339164.50479,postgres,0,722,5,3767,34880,333879,13354,0,0,0
1416339164.50479,dbt3,5,26796,0,1161961745,8820821570,65875086262,13138640427,442645701,4642,8032839
1416339224.50613,template1,0,0,0,0,0,0,0,0,0,0
1416339224.50613,template0,0,0,0,0,0,0,0,0,0,0
1416339224.50613,postgres,0,724,5,3767,34938,334805,13365,0,0,0
1416339224.50613,dbt3,4,26826,0,1162754852,8823028576,65950200347,13138643074,442736160,4645,8107847
1416339284.50899,template1,0,0,0,0,0,0,0,0,0,0
1416339284.50899,template0,0,0,0,0,0,0,0,0,0,0
1416339284.50899,postgres,0,726,5,3767,34996,335731,13376,0,0,0
1416339284.50899,dbt3,3,26858,0,1163543710,8825239662,66025316138,13138646871,442826558,4678,8183074
1416339344.512,template1,0,0,0,0,0,0,0,0,0,0
1416339344.512,template0,0,0,0,0,0,0,0,0,0,0
1416339344.512,postgres,0,728,5,3767,35054,336657,13387,0,0,0
1416339344.512,dbt3,2,26901,0,1165058641,8828134895,66175538804,13138650455,442931293,4683,8333191
1416339404.515,template1,0,0,0,0,0,0,0,0,0,0
1416339404.515,template0,0,0,0,0,0,0,0,0,0,0
1416339404.515,postgres,0,730,5,3767,35112,337583,13398,0,0,0
1416339404.515,dbt3,6,26942,0,1165869871,8831897293,66250654635,13138653467,443097074,4687,8407551
1416339464.51974,template1,0,0,0,0,0,0,0,0,0,0
1416339464.51974,template0,0,0,0,0,0,0,0,0,0,0
1416339464.51974,postgres,0,732,5,3767,35170,338509,13409,0,0,0
1416339464.51974,dbt3,6,26977,0,1166631852,8834138035,66325771995,13138657598,443187321,4741,8482466
